Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6575720077, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6619252716, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7744607594, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6823016251, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.7226178878, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7135818813, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7205893154, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7340112356, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7588155501, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7208206071, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7601283522, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8748998773, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5240227530, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5624330415, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5415084600, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6218323732, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5876534558, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5771451824, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5747510255, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5362812633, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5418490487, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5361596622, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5584371600, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5337345110, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5848218771, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5927894921, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6321850056, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5887438050, mutationProbability=0.100}
